run_id,batch_id,timestamp,nir_prediction,reference_result,reference_sample_id,diversion_lower_limit,diversion_upper_limit,q_residual,hotelling_t2,valid_spectrum
NEW-INL-001,SYN-NB001,2026-04-10T08:00:00,99.7,99.6,REF-N001,97.0,103.0,0.50,5.1,true
NEW-INL-001,SYN-NB001,2026-04-10T08:12:00,100.2,100.1,REF-N002,97.0,103.0,0.62,5.8,true
NEW-INL-001,SYN-NB001,2026-04-10T08:24:00,100.6,100.5,REF-N003,97.0,103.0,0.74,6.3,true
NEW-INL-001,SYN-NB001,2026-04-10T08:36:00,99.1,99.2,REF-N004,97.0,103.0,0.86,6.9,true
NEW-INL-001,SYN-NB001,2026-04-10T08:48:00,101.0,100.9,REF-N005,97.0,103.0,0.82,6.7,true
NEW-INL-001,SYN-NB001,2026-04-10T09:00:00,98.9,99.0,REF-N006,97.0,103.0,0.96,7.5,true
NEW-INL-001,SYN-NB001,2026-04-10T09:12:00,100.3,100.2,REF-N007,97.0,103.0,0.71,6.1,true
NEW-INL-001,SYN-NB001,2026-04-10T09:24:00,99.6,99.7,REF-N008,97.0,103.0,0.78,6.5,true
NEW-INL-001,SYN-NB001,2026-04-10T09:36:00,100.8,100.7,REF-N009,97.0,103.0,0.80,6.4,true
NEW-INL-001,SYN-NB001,2026-04-10T09:48:00,99.4,99.5,REF-N010,97.0,103.0,1.05,8.2,true
NEW-INL-001,SYN-NB001,2026-04-10T10:00:00,101.3,101.1,REF-N011,97.0,103.0,0.92,7.1,true
NEW-INL-001,SYN-NB001,2026-04-10T10:12:00,98.6,98.8,REF-N012,97.0,103.0,1.18,8.6,true
NEW-INL-001,SYN-NB001,2026-04-10T10:24:00,100.5,100.4,REF-N013,97.0,103.0,0.69,5.9,true
NEW-INL-001,SYN-NB001,2026-04-10T10:36:00,99.9,100.0,REF-N014,97.0,103.0,0.83,6.6,true
NEW-INL-001,SYN-NB001,2026-04-10T10:48:00,100.7,100.6,REF-N015,97.0,103.0,0.77,6.2,true
NEW-INL-001,SYN-NB001,2026-04-10T11:00:00,99.2,99.3,REF-N016,97.0,103.0,1.26,9.1,false
